"region","scenario","landuse","year","LU_frac"
"Global","Reference_CI_HadGEM","crops","2045",12449.6191859696
"Global","Reference_CI_HadGEM","crops","2050",12562.0047959693
"Global","Reference_CI_HadGEM","crops","2055",12721.4285428302
"Global","Reference_CI_HadGEM","crops","2060",12851.8171617963
"Global","Reference_CI_HadGEM","crops","2065",12985.3610995771
"Global","Reference_CI_HadGEM","crops","2070",13051.7075259909
"Global","Reference_CI_HadGEM","crops","2075",13104.1458093128
"Global","Reference_CI_HadGEM","crops","2080",13195.3134810272
"Global","Reference_CI_HadGEM","crops","2085",13183.4697465864
"Global","Reference_CI_HadGEM","crops","2090",13239.8843070441
"Global","Reference_CI_HadGEM","crops","2095",13199.2822410778
"Global","Reference_CI_HadGEM","crops","2100",13161.2097409457
"Global","Reference_CI_HadGEM","forest","1990",30242.139957116
"Global","Reference_CI_HadGEM","forest","2005",30070.636922601
"Global","Reference_CI_HadGEM","forest","2010",30024.759458173
"Global","Reference_CI_HadGEM","forest","2015",29875.456531881
"Global","Reference_CI_HadGEM","forest","2020",29900.059244017
"Global","Reference_CI_HadGEM","forest","2025",30409.4408055548
"Global","Reference_CI_HadGEM","forest","2030",30444.2892736115
"Global","Reference_CI_HadGEM","forest","2035",30497.262506338
"Global","Reference_CI_HadGEM","forest","2040",30521.4322047085
"Global","Reference_CI_HadGEM","forest","2045",30542.4731776721
"Global","Reference_CI_HadGEM","forest","2050",30560.6220971125
"Global","Reference_CI_HadGEM","forest","2055",30606.7602685953
"Global","Reference_CI_HadGEM","forest","2060",30654.5167400022
"Global","Reference_CI_HadGEM","forest","2065",30684.0695197078
"Global","Reference_CI_HadGEM","forest","2070",30713.043853348
"Global","Reference_CI_HadGEM","forest","2075",30717.4313815049
"Global","Reference_CI_HadGEM","forest","2080",30699.3536500025
"Global","Reference_CI_HadGEM","forest","2085",30687.2581260621
"Global","Reference_CI_HadGEM","forest","2090",30663.2347754213
"Global","Reference_CI_HadGEM","forest","2095",30648.098652243
"Global","Reference_CI_HadGEM","forest","2100",30623.8919540462
"Global","Reference_CI_HadGEM","grass","1990",19999.37209513
"Global","Reference_CI_HadGEM","grass","2005",20068.88270198
"Global","Reference_CI_HadGEM","grass","2010",19980.206841008
"Global","Reference_CI_HadGEM","grass","2015",19752.0290382689
