"region","scenario","Scen_Label","year","tot_Generation"
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2055,59.165191535
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2060,59.8660070181
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2065,59.3320527404
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2070,57.69580710695
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2075,55.9881236139
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2080,54.09380631106
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2085,52.119432432
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2090,50.0493021612203
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2095,47.798926368212
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2100,45.636035574989
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",1990,2.34115863585
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2005,9.140771078
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2010,15.24865128898
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2015,21.1752451987
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2020,23.748476723
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2025,27.587579734
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2030,31.626134111
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2035,42.854522253
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2040,46.467945373
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2045,49.752542403
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2050,54.916408568
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2055,59.046748441
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2060,59.7754622496
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2065,59.18900009
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2070,57.4867586228
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2075,55.71372253721
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2080,53.81419171931
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2085,51.923774633706
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2090,49.8253072146305
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2095,47.591295592315
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2100,45.419416071288
"China","Reference","Reference",1990,2.34115863585
"China","Reference","Reference",2005,9.140771078
"China","Reference","Reference",2010,15.24865128898
"China","Reference","Reference",2015,21.1752451987
"China","Reference","Reference",2020,23.768469215
"China","Reference","Reference",2025,27.604663824
"China","Reference","Reference",2030,31.65748205
"China","Reference","Reference",2035,35.285593944
"China","Reference","Reference",2040,38.500149034
"China","Reference","Reference",2045,41.128896503
"China","Reference","Reference",2050,42.673933324
"China","Reference","Reference",2055,43.89679625
"China","Reference","Reference",2060,44.29365113
"China","Reference","Reference",2065,44.03387025
"China","Reference","Reference",2070,43.661265714
"China","Reference","Reference",2075,43.014450593
"China","Reference","Reference",2080,41.984638535
"China","Reference","Reference",2085,41.10755952
"China","Reference","Reference",2090,40.220787528
"China","Reference","Reference",2095,39.4328568076
"China","Reference","Reference",2100,38.703186669
"China","Reference_CI_GFDL","Reference_CI",1990,2.34115863585
"China","Reference_CI_GFDL","Reference_CI",2005,9.140771078
"China","Reference_CI_GFDL","Reference_CI",2010,15.24865128898
"China","Reference_CI_GFDL","Reference_CI",2015,21.1752451987
"China","Reference_CI_GFDL","Reference_CI",2020,23.744898303
"China","Reference_CI_GFDL","Reference_CI",2025,27.586329187
"China","Reference_CI_GFDL","Reference_CI",2030,31.640495056
"China","Reference_CI_GFDL","Reference_CI",2035,35.675460767
"China","Reference_CI_GFDL","Reference_CI",2040,38.913672477
"China","Reference_CI_GFDL","Reference_CI",2045,41.485594697
"China","Reference_CI_GFDL","Reference_CI",2050,42.971535308
"China","Reference_CI_GFDL","Reference_CI",2055,44.087858193
"China","Reference_CI_GFDL","Reference_CI",2060,44.41700886
"China","Reference_CI_GFDL","Reference_CI",2065,44.11773046
"China","Reference_CI_GFDL","Reference_CI",2070,43.722638652
"China","Reference_CI_GFDL","Reference_CI",2075,43.062364045
"China","Reference_CI_GFDL","Reference_CI",2080,41.902612709
"China","Reference_CI_GFDL","Reference_CI",2085,41.006505337
"China","Reference_CI_GFDL","Reference_CI",2090,40.108955614
"China","Reference_CI_GFDL","Reference_CI",2095,39.3227783517
"China","Reference_CI_GFDL","Reference_CI",2100,38.4553727419
"China","Reference_CI_HadGEM","Reference_CI",1990,2.34115863585
"China","Reference_CI_HadGEM","Reference_CI",2005,9.140771078
"China","Reference_CI_HadGEM","Reference_CI",2010,15.24865128898
"China","Reference_CI_HadGEM","Reference_CI",2015,21.1752451987
"China","Reference_CI_HadGEM","Reference_CI",2020,23.747363201
"China","Reference_CI_HadGEM","Reference_CI",2025,27.592038077
"China","Reference_CI_HadGEM","Reference_CI",2030,31.643375544
"China","Reference_CI_HadGEM","Reference_CI",2035,35.675411988
"China","Reference_CI_HadGEM","Reference_CI",2040,38.918597148
"China","Reference_CI_HadGEM","Reference_CI",2045,41.487640348
"China","Reference_CI_HadGEM","Reference_CI",2050,42.974359071
"China","Reference_CI_HadGEM","Reference_CI",2055,44.084809907
"China","Reference_CI_HadGEM","Reference_CI",2060,44.42995483
"China","Reference_CI_HadGEM","Reference_CI",2065,44.15079422
"China","Reference_CI_HadGEM","Reference_CI",2070,43.764478614
"China","Reference_CI_HadGEM","Reference_CI",2075,43.145126081
"China","Reference_CI_HadGEM","Reference_CI",2080,42.049003296
"China","Reference_CI_HadGEM","Reference_CI",2085,41.205806233
"China","Reference_CI_HadGEM","Reference_CI",2090,40.383860609
"China","Reference_CI_HadGEM","Reference_CI",2095,39.6304677268
"China","Reference_CI_HadGEM","Reference_CI",2100,38.7739833538
"China","Reference_CI_IPSL","Reference_CI",1990,2.34115863585
"China","Reference_CI_IPSL","Reference_CI",2005,9.140771078
"China","Reference_CI_IPSL","Reference_CI",2010,15.24865128898
"China","Reference_CI_IPSL","Reference_CI",2015,21.1752451987
"China","Reference_CI_IPSL","Reference_CI",2020,23.751670719
"China","Reference_CI_IPSL","Reference_CI",2025,27.600011618
"China","Reference_CI_IPSL","Reference_CI",2030,31.659477428
"China","Reference_CI_IPSL","Reference_CI",2035,35.682153855
"China","Reference_CI_IPSL","Reference_CI",2040,38.938050695
"China","Reference_CI_IPSL","Reference_CI",2045,41.521120165
"China","Reference_CI_IPSL","Reference_CI",2050,43.020811782
"China","Reference_CI_IPSL","Reference_CI",2055,44.139257897
"China","Reference_CI_IPSL","Reference_CI",2060,44.49061758
"China","Reference_CI_IPSL","Reference_CI",2065,44.20383024
"China","Reference_CI_IPSL","Reference_CI",2070,43.821193156
"China","Reference_CI_IPSL","Reference_CI",2075,43.185937436
"China","Reference_CI_IPSL","Reference_CI",2080,42.088799286
"China","Reference_CI_IPSL","Reference_CI",2085,41.261173422
"China","Reference_CI_IPSL","Reference_CI",2090,40.447619614
"China","Reference_CI_IPSL","Reference_CI",2095,39.7220839738
"China","Reference_CI_IPSL","Reference_CI",2100,38.8757563486
"China","Reference_CI_MIROC","Reference_CI",1990,2.34115863585
"China","Reference_CI_MIROC","Reference_CI",2005,9.140771078
"China","Reference_CI_MIROC","Reference_CI",2010,15.24865128898
"China","Reference_CI_MIROC","Reference_CI",2015,21.1752451987
"China","Reference_CI_MIROC","Reference_CI",2020,23.742888598
"China","Reference_CI_MIROC","Reference_CI",2025,27.587180218
"China","Reference_CI_MIROC","Reference_CI",2030,31.643743316
"China","Reference_CI_MIROC","Reference_CI",2035,35.641601515
"China","Reference_CI_MIROC","Reference_CI",2040,38.899111105
"China","Reference_CI_MIROC","Reference_CI",2045,41.490018815
"China","Reference_CI_MIROC","Reference_CI",2050,42.989464632
"China","Reference_CI_MIROC","Reference_CI",2055,44.115191206
"China","Reference_CI_MIROC","Reference_CI",2060,44.46353995
"China","Reference_CI_MIROC","Reference_CI",2065,44.17476692
"China","Reference_CI_MIROC","Reference_CI",2070,43.793663251
"China","Reference_CI_MIROC","Reference_CI",2075,43.168956396
"China","Reference_CI_MIROC","Reference_CI",2080,42.078266041
"China","Reference_CI_MIROC","Reference_CI",2085,41.267639266
"China","Reference_CI_MIROC","Reference_CI",2090,40.454309925
"China","Reference_CI_MIROC","Reference_CI",2095,39.7296260094
"China","Reference_CI_MIROC","Reference_CI",2100,38.8800530703
"China","Reference_CI_NorESM","Reference_CI",1990,2.34115863585
"China","Reference_CI_NorESM","Reference_CI",2005,9.140771078
"China","Reference_CI_NorESM","Reference_CI",2010,15.24865128898
"China","Reference_CI_NorESM","Reference_CI",2015,21.1752451987
"China","Reference_CI_NorESM","Reference_CI",2020,23.743459496
"China","Reference_CI_NorESM","Reference_CI",2025,27.586286667
"China","Reference_CI_NorESM","Reference_CI",2030,31.6405665
"China","Reference_CI_NorESM","Reference_CI",2035,35.658834584
