"region","scenario","sector","year","Water_Withdrawal"
"China","Policy_NoDAC","nuclearFuelGenII","2080",0
"China","Policy_NoDAC","nuclearFuelGenIII","2080",1.06162
"China","Policy_NoDAC","regional coal","2080",0.245507
"China","Policy_NoDAC","regional natural gas","2080",0.000257973
"China","Policy_NoDAC","regional oil","2080",1.629167
"Taiwan","Policy_NoDAC","Beef","2080",0.0054521543
"Taiwan","Policy_NoDAC","Dairy","2080",1.45002975e-06
"Taiwan","Policy_NoDAC","Pork","2080",0.1398348772
"Taiwan","Policy_NoDAC","Poultry","2080",1.466076394e-05
"Taiwan","Policy_NoDAC","SheepGoat","2080",2.1752323e-05
"Taiwan","Policy_NoDAC","elec_biomass (IGCC CCS)","2080",0.1083465740312
"Taiwan","Policy_NoDAC","elec_biomass (conv CCS)","2080",0.0923627910119
"Taiwan","Policy_NoDAC","elec_coal (IGCC CCS)","2080",0.281613883192
"Taiwan","Policy_NoDAC","elec_coal (conv pul CCS)","2080",0.35061287821
"Taiwan","Policy_NoDAC","elec_gas (CC CCS)","2080",0.4007165404
"Taiwan","Policy_NoDAC","elec_refined liquids (CC CCS)","2080",0.05821661081
"Taiwan","Policy_NoDAC","electricity","2080",0.791744714077272
"Taiwan","Policy_NoDAC","industry","2080",11.0893
"Taiwan","Policy_NoDAC","municipal water","2080",3.19969
"Taiwan","Policy_NoDAC","nuclearFuelGenII","2080",0
"Taiwan","Policy_NoDAC","nuclearFuelGenIII","2080",0.0203522
"Taiwan","Policy_NoDAC","regional coal","2080",0.002169924
"Taiwan","Policy_NoDAC","regional natural gas","2080",1.956589e-05
"Taiwan","Policy_NoDAC","regional oil","2080",0.07400446
"Global","Policy_NoDAC","Beef","2080",56.88214068856
"Global","Policy_NoDAC","Corn","2080",264.855104406324
"Global","Policy_NoDAC","Dairy","2080",60.5100806810147
"Global","Policy_NoDAC","FiberCrop","2080",199.248287680357
"Global","Policy_NoDAC","FodderGrass","2080",2.25485044418867
"Global","Policy_NoDAC","FodderHerb","2080",78.6111665789076
"Global","Policy_NoDAC","MiscCrop","2080",711.481802800335
"Global","Policy_NoDAC","OilCrop","2080",198.702895493362
"Global","Policy_NoDAC","OtherGrain","2080",63.5868762687409
"Global","Policy_NoDAC","PalmFruit","2080",0.43265285566
"Global","Policy_NoDAC","Pork","2080",38.10751333577
"Global","Policy_NoDAC","Poultry","2080",0.00533817314594
"Global","Policy_NoDAC","Rice","2080",549.431436050578
"Global","Policy_NoDAC","RootTuber","2080",40.425943840427
"Global","Policy_NoDAC","SheepGoat","2080",18.1382875918129
"Global","Policy_NoDAC","SugarCrop","2080",325.78708337728
"Global","Policy_NoDAC","Wheat","2080",521.828590930651
"Global","Policy_NoDAC","biomass","2080",150.207112664959
"Global","Policy_NoDAC","elec_biomass (IGCC CCS)","2080",14.5696446392291
"Global","Policy_NoDAC","elec_biomass (conv CCS)","2080",147.978407969281
"Global","Policy_NoDAC","elec_coal (IGCC CCS)","2080",26.567849670825
"Global","Policy_NoDAC","elec_coal (conv pul CCS)","2080",86.0933095977278
"Global","Policy_NoDAC","elec_gas (CC CCS)","2080",63.93765404501
"Global","Policy_NoDAC","elec_refined liquids (CC CCS)","2080",8.27609505571388
"Global","Policy_NoDAC","electricity","2080",207.417003421699
"Global","Policy_NoDAC","industry","2080",542.554444
"Global","Policy_NoDAC","municipal water","2080",694.68399
"Global","Policy_NoDAC","nuclearFuelGenII","2080",0
"Global","Policy_NoDAC","nuclearFuelGenIII","2080",3.518152358
"Global","Policy_NoDAC","regional coal","2080",0.69102225325
"Global","Policy_NoDAC","regional natural gas","2080",0.004286920581
"Global","Policy_NoDAC","regional oil","2080",16.892129567
"China","Policy_NoDAC","Beef","2085",9.436205422
"China","Policy_NoDAC","Corn","2085",36.6097918626558
"China","Policy_NoDAC","Dairy","2085",7.3392061
"China","Policy_NoDAC","FiberCrop","2085",7.47687924911
"China","Policy_NoDAC","MiscCrop","2085",33.155972294927
"China","Policy_NoDAC","OilCrop","2085",21.165415159
"China","Policy_NoDAC","OtherGrain","2085",0.7356057125424
"China","Policy_NoDAC","Pork","2085",20.4086199
"China","Policy_NoDAC","Poultry","2085",0.001360663534
"China","Policy_NoDAC","Rice","2085",72.08306168227
"China","Policy_NoDAC","RootTuber","2085",1.4861132279
"China","Policy_NoDAC","SheepGoat","2085",4.0618379
"China","Policy_NoDAC","SugarCrop","2085",1.482345172
"China","Policy_NoDAC","Wheat","2085",74.96468916
"China","Policy_NoDAC","biomass","2085",11.333225598523
"China","Policy_NoDAC","elec_biomass (IGCC CCS)","2085",2.2707175878852
"China","Policy_NoDAC","elec_biomass (conv CCS)","2085",38.7506036685
"China","Policy_NoDAC","elec_coal (IGCC CCS)","2085",9.342440406
"China","Policy_NoDAC","elec_coal (conv pul CCS)","2085",33.738706098
"China","Policy_NoDAC","elec_gas (CC CCS)","2085",4.475968566
"China","Policy_NoDAC","elec_refined liquids (CC CCS)","2085",0.04599543945
"China","Policy_NoDAC","electricity","2085",64.5222063380986
"China","Policy_NoDAC","industry","2085",105.388
"China","Policy_NoDAC","municipal water","2085",69.6129
"China","Policy_NoDAC","nuclearFuelGenII","2085",0
"China","Policy_NoDAC","nuclearFuelGenIII","2085",1.04731
"China","Policy_NoDAC","regional coal","2085",0.228908
"China","Policy_NoDAC","regional natural gas","2085",0.000276239
"China","Policy_NoDAC","regional oil","2085",1.616888
"Taiwan","Policy_NoDAC","Beef","2085",0.0058059824
"Taiwan","Policy_NoDAC","Dairy","2085",1.46338666e-06
"Taiwan","Policy_NoDAC","Pork","2085",0.1403544671
"Taiwan","Policy_NoDAC","Poultry","2085",1.471018228e-05
"Taiwan","Policy_NoDAC","SheepGoat","2085",2.262526e-05
"Taiwan","Policy_NoDAC","elec_biomass (IGCC CCS)","2085",0.1388953199748
"Taiwan","Policy_NoDAC","elec_biomass (conv CCS)","2085",0.1163276224807
"Taiwan","Policy_NoDAC","elec_coal (IGCC CCS)","2085",0.293095286915
"Taiwan","Policy_NoDAC","elec_coal (conv pul CCS)","2085",0.356307586563
"Taiwan","Policy_NoDAC","elec_gas (CC CCS)","2085",0.4270692306
"Taiwan","Policy_NoDAC","elec_refined liquids (CC CCS)","2085",0.05113515532
"Taiwan","Policy_NoDAC","electricity","2085",0.732474620787513
"Taiwan","Policy_NoDAC","industry","2085",11.1191
"Taiwan","Policy_NoDAC","municipal water","2085",3.14659
"Taiwan","Policy_NoDAC","nuclearFuelGenII","2085",0
"Taiwan","Policy_NoDAC","nuclearFuelGenIII","2085",0.0213606
"Taiwan","Policy_NoDAC","regional coal","2085",0.002194976
"Taiwan","Policy_NoDAC","regional natural gas","2085",2.09056e-05
"Taiwan","Policy_NoDAC","regional oil","2085",0.05876843
"Global","Policy_NoDAC","Beef","2085",58.74463390908
"Global","Policy_NoDAC","Corn","2085",274.075210429285
"Global","Policy_NoDAC","Dairy","2085",61.7014723068847
"Global","Policy_NoDAC","FiberCrop","2085",196.144782324987
"Global","Policy_NoDAC","FodderGrass","2085",2.26184349583095
"Global","Policy_NoDAC","FodderHerb","2085",80.3633431174344
"Global","Policy_NoDAC","MiscCrop","2085",716.624749426169
"Global","Policy_NoDAC","OilCrop","2085",206.730089771768
"Global","Policy_NoDAC","OtherGrain","2085",62.2522879227669
"Global","Policy_NoDAC","PalmFruit","2085",0.445870195127
"Global","Policy_NoDAC","Pork","2085",37.45818884247
"Global","Policy_NoDAC","Poultry","2085",0.00535780298098
"Global","Policy_NoDAC","Rice","2085",535.156379039725
"Global","Policy_NoDAC","RootTuber","2085",40.0150959717118
"Global","Policy_NoDAC","SheepGoat","2085",18.6601796145642
"Global","Policy_NoDAC","SugarCrop","2085",326.414775965524
"Global","Policy_NoDAC","Wheat","2085",508.783832725774
"Global","Policy_NoDAC","biomass","2085",157.674865801574
"Global","Policy_NoDAC","elec_biomass (IGCC CCS)","2085",16.5008866058503
"Global","Policy_NoDAC","elec_biomass (conv CCS)","2085",151.469676286564
"Global","Policy_NoDAC","elec_coal (IGCC CCS)","2085",26.5467743554929
"Global","Policy_NoDAC","elec_coal (conv pul CCS)","2085",80.5314649952998
"Global","Policy_NoDAC","elec_gas (CC CCS)","2085",64.6312049591
"Global","Policy_NoDAC","elec_refined liquids (CC CCS)","2085",7.07869647078411
"Global","Policy_NoDAC","electricity","2085",202.353877940511
"Global","Policy_NoDAC","industry","2085",548.945353
"Global","Policy_NoDAC","municipal water","2085",690.76838
"Global","Policy_NoDAC","nuclearFuelGenII","2085",0
"Global","Policy_NoDAC","nuclearFuelGenIII","2085",3.520027342
"Global","Policy_NoDAC","regional coal","2085",0.66844067182
"Global","Policy_NoDAC","regional natural gas","2085",0.004533607088
"Global","Policy_NoDAC","regional oil","2085",16.27325021
"China","Policy_NoDAC","Beef","2090",9.182576839
"China","Policy_NoDAC","Corn","2090",38.8058956438736
"China","Policy_NoDAC","Dairy","2090",7.0528045
"China","Policy_NoDAC","FiberCrop","2090",7.20767857594
"China","Policy_NoDAC","MiscCrop","2090",31.869527539784
"China","Policy_NoDAC","OilCrop","2090",21.780767668
"China","Policy_NoDAC","OtherGrain","2090",0.73616859995834
"China","Policy_NoDAC","Pork","2090",19.57314521
"China","Policy_NoDAC","Poultry","2090",0.001312278749
"China","Policy_NoDAC","Rice","2090",69.85982735537
"China","Policy_NoDAC","RootTuber","2090",1.4114927753
"China","Policy_NoDAC","SheepGoat","2090",3.9199766
"China","Policy_NoDAC","SugarCrop","2090",1.436351731
"China","Policy_NoDAC","Wheat","2090",72.45385909
"China","Policy_NoDAC","biomass","2090",11.719286386294
"China","Policy_NoDAC","elec_biomass (IGCC CCS)","2090",2.411830958232
"China","Policy_NoDAC","elec_biomass (conv CCS)","2090",45.10356943
"China","Policy_NoDAC","elec_coal (IGCC CCS)","2090",8.69062525
"China","Policy_NoDAC","elec_coal (conv pul CCS)","2090",29.674440847
"China","Policy_NoDAC","elec_gas (CC CCS)","2090",3.618181641
"China","Policy_NoDAC","elec_refined liquids (CC CCS)","2090",0.03534678716
"China","Policy_NoDAC","electricity","2090",62.343459005057
"China","Policy_NoDAC","industry","2090",101.715
"China","Policy_NoDAC","municipal water","2090",65.6007
"China","Policy_NoDAC","nuclearFuelGenII","2090",0
"China","Policy_NoDAC","nuclearFuelGenIII","2090",1.0202
"China","Policy_NoDAC","regional coal","2090",0.210158
"China","Policy_NoDAC","regional natural gas","2090",0.000293206
"China","Policy_NoDAC","regional oil","2090",1.595046
"Taiwan","Policy_NoDAC","Beef","2090",0.0061416805
"Taiwan","Policy_NoDAC","Dairy","2090",1.48029404e-06
"Taiwan","Policy_NoDAC","Pork","2090",0.1407350104
"Taiwan","Policy_NoDAC","Poultry","2090",1.474511489e-05
"Taiwan","Policy_NoDAC","SheepGoat","2090",2.339224e-05
"Taiwan","Policy_NoDAC","elec_biomass (IGCC CCS)","2090",0.18715177127
"Taiwan","Policy_NoDAC","elec_biomass (conv CCS)","2090",0.17100694882
"Taiwan","Policy_NoDAC","elec_coal (IGCC CCS)","2090",0.28725946616
"Taiwan","Policy_NoDAC","elec_coal (conv pul CCS)","2090",0.339730347
"Taiwan","Policy_NoDAC","elec_gas (CC CCS)","2090",0.4253581341
"Taiwan","Policy_NoDAC","elec_refined liquids (CC CCS)","2090",0.0412873796
"Taiwan","Policy_NoDAC","electricity","2090",0.71899477667344
"Taiwan","Policy_NoDAC","industry","2090",11.1632
"Taiwan","Policy_NoDAC","municipal water","2090",3.08648
"Taiwan","Policy_NoDAC","nuclearFuelGenII","2090",0
"Taiwan","Policy_NoDAC","nuclearFuelGenIII","2090",0.021764
"Taiwan","Policy_NoDAC","regional coal","2090",0.002104008
"Taiwan","Policy_NoDAC","regional natural gas","2090",2.146751e-05
"Taiwan","Policy_NoDAC","regional oil","2090",0.04646638
"Global","Policy_NoDAC","Beef","2090",60.388875495594
"Global","Policy_NoDAC","Corn","2090",279.645229634131
"Global","Policy_NoDAC","Dairy","2090",62.6866003509851
"Global","Policy_NoDAC","FiberCrop","2090",191.966464473298
"Global","Policy_NoDAC","FodderGrass","2090",2.22347435023904
"Global","Policy_NoDAC","FodderHerb","2090",81.4779664158674
"Global","Policy_NoDAC","MiscCrop","2090",711.452225180797
"Global","Policy_NoDAC","OilCrop","2090",212.830055569212
"Global","Policy_NoDAC","OtherGrain","2090",60.5447972090064
"Global","Policy_NoDAC","PalmFruit","2090",0.457745543319
"Global","Policy_NoDAC","Pork","2090",36.77844592935
"Global","Policy_NoDAC","Poultry","2090",0.00536346235789
"Global","Policy_NoDAC","Rice","2090",520.555452258634
"Global","Policy_NoDAC","RootTuber","2090",39.4647186376056
"Global","Policy_NoDAC","SheepGoat","2090",19.1163441641313
"Global","Policy_NoDAC","SugarCrop","2090",326.141561665948
"Global","Policy_NoDAC","Wheat","2090",494.848251164392
"Global","Policy_NoDAC","biomass","2090",165.248316118002
"Global","Policy_NoDAC","elec_biomass (IGCC CCS)","2090",18.3316072829797
"Global","Policy_NoDAC","elec_biomass (conv CCS)","2090",151.646488116762
"Global","Policy_NoDAC","elec_coal (IGCC CCS)","2090",26.4022081260415
"Global","Policy_NoDAC","elec_coal (conv pul CCS)","2090",75.318466546987
"Global","Policy_NoDAC","elec_gas (CC CCS)","2090",64.28105108614
"Global","Policy_NoDAC","elec_refined liquids (CC CCS)","2090",5.80101089824238
"Global","Policy_NoDAC","electricity","2090",198.062924935227
"Global","Policy_NoDAC","industry","2090",554.025639
"Global","Policy_NoDAC","municipal water","2090",684.64094
"Global","Policy_NoDAC","nuclearFuelGenII","2090",0
"Global","Policy_NoDAC","nuclearFuelGenIII","2090",3.51442723
"Global","Policy_NoDAC","regional coal","2090",0.6495675938
"Global","Policy_NoDAC","regional natural gas","2090",0.004785141639
"Global","Policy_NoDAC","regional oil","2090",15.6047351302
"China","Policy_NoDAC","Beef","2095",8.963278111
"China","Policy_NoDAC","Corn","2095",40.2451704493235
"China","Policy_NoDAC","Dairy","2095",6.7876488
"China","Policy_NoDAC","FiberCrop","2095",6.9835101171
"China","Policy_NoDAC","MiscCrop","2095",30.719441244359
"China","Policy_NoDAC","OilCrop","2095",22.342764038
"China","Policy_NoDAC","OtherGrain","2095",0.74084005275389
"China","Policy_NoDAC","Pork","2095",18.78763005
"China","Policy_NoDAC","Poultry","2095",0.001266890035
"China","Policy_NoDAC","Rice","2095",67.92194533083
"China","Policy_NoDAC","RootTuber","2095",1.3435504111
"China","Policy_NoDAC","SheepGoat","2095",3.7910694
"China","Policy_NoDAC","SugarCrop","2095",1.397341235
"China","Policy_NoDAC","Wheat","2095",70.96069584
"China","Policy_NoDAC","biomass","2095",12.266135935165
"China","Policy_NoDAC","elec_biomass (IGCC CCS)","2095",2.5369367183586
"China","Policy_NoDAC","elec_biomass (conv CCS)","2095",47.27009681
"China","Policy_NoDAC","elec_coal (IGCC CCS)","2095",7.87893433
"China","Policy_NoDAC","elec_coal (conv pul CCS)","2095",25.566474174
"China","Policy_NoDAC","elec_gas (CC CCS)","2095",3.520835934
"China","Policy_NoDAC","elec_refined liquids (CC CCS)","2095",0.101963265989
"China","Policy_NoDAC","electricity","2095",52.8931491905883
"China","Policy_NoDAC","industry","2095",97.9007
"China","Policy_NoDAC","municipal water","2095",61.9393
"China","Policy_NoDAC","nuclearFuelGenII","2095",0
"China","Policy_NoDAC","nuclearFuelGenIII","2095",0.882247
"China","Policy_NoDAC","regional coal","2095",0.1835056
"China","Policy_NoDAC","regional natural gas","2095",0.000314928
"China","Policy_NoDAC","regional oil","2095",1.584136
"Taiwan","Policy_NoDAC","Beef","2095",0.00640145739
"Taiwan","Policy_NoDAC","Dairy","2095",1.49276383e-06
"Taiwan","Policy_NoDAC","Pork","2095",0.1409851734
"Taiwan","Policy_NoDAC","Poultry","2095",1.476916916e-05
"Taiwan","Policy_NoDAC","SheepGoat","2095",2.415691e-05
"Taiwan","Policy_NoDAC","elec_biomass (IGCC CCS)","2095",0.2025789749
"Taiwan","Policy_NoDAC","elec_biomass (conv CCS)","2095",0.18819471181
"Taiwan","Policy_NoDAC","elec_coal (IGCC CCS)","2095",0.29440798664
"Taiwan","Policy_NoDAC","elec_coal (conv pul CCS)","2095",0.3475523539
"Taiwan","Policy_NoDAC","elec_gas (CC CCS)","2095",0.3795530353
"Taiwan","Policy_NoDAC","elec_refined liquids (CC CCS)","2095",0.04713272288
"Taiwan","Policy_NoDAC","electricity","2095",0.744118102102952
"Taiwan","Policy_NoDAC","industry","2095",11.1953
"Taiwan","Policy_NoDAC","municipal water","2095",3.02072
"Taiwan","Policy_NoDAC","nuclearFuelGenII","2095",0
"Taiwan","Policy_NoDAC","nuclearFuelGenIII","2095",0.0213055
"Taiwan","Policy_NoDAC","regional coal","2095",0.002115171
