region,scenario,sector,subsector,technology,year,cost
China,Reference,electricity,gas,gas (CC CCS),2025,9.01513
China,Reference,electricity,gas,gas (CC),2025,6.16248
China,Reference,electricity,gas,gas (steam/CT),2025,8.81571
China,Reference,electricity,geothermal,geothermal,2025,12.7081
China,Reference,electricity,nuclear,Gen_III,2025,9.53811
China,Reference,electricity,nuclear,Gen_II_LWR,2025,9.85397
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2025,17.616
China,Reference,electricity,refined liquids,refined liquids (CC),2025,12.6845
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2025,18.8837
China,Reference,electricity,solar,CSP,2025,16.0379
China,Reference,electricity,solar,CSP_storage,2025,13.5276
China,Reference,electricity,solar,PV,2025,6.8267
China,Reference,electricity,solar,PV_storage,2025,24.8797
China,Reference,electricity,wind,wind,2025,6.31619
China,Reference,electricity,wind,wind_offshore,2025,11.4563
China,Reference,electricity,wind,wind_storage,2025,16.7453
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2025,14.2376
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2025,20.7383
Taiwan,Reference,electricity,biomass,biomass (IGCC),2025,15.7657
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2025,20.5633
Taiwan,Reference,electricity,biomass,biomass (conv),2025,13.7216
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2025,12.7089
Taiwan,Reference,electricity,coal,coal (IGCC),2025,8.09297
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2025,12.0408
Taiwan,Reference,electricity,coal,coal (conv pul),2025,7.20885
Taiwan,Reference,electricity,gas,gas (CC CCS),2025,8.11693
Taiwan,Reference,electricity,gas,gas (CC),2025,5.22464
Taiwan,Reference,electricity,gas,gas (steam/CT),2025,7.41023
Taiwan,Reference,electricity,geothermal,geothermal,2025,14.1799
Taiwan,Reference,electricity,nuclear,Gen_III,2025,9.50884
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2025,9.8247
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2025,17.5833
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2025,12.4621
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2025,18.5655
Taiwan,Reference,electricity,solar,CSP,2025,10.103
Taiwan,Reference,electricity,solar,CSP_storage,2025,10.4487
Taiwan,Reference,electricity,solar,PV,2025,8.16371
Taiwan,Reference,electricity,solar,PV_storage,2025,29.8473
Taiwan,Reference,electricity,wind,wind,2025,6.95609
Taiwan,Reference,electricity,wind,wind_offshore,2025,11.0507
Taiwan,Reference,electricity,wind,wind_storage,2025,18.5688
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2030,11.181
China,Reference,electricity,biomass,biomass (IGCC CCS),2030,19.7232
China,Reference,electricity,biomass,biomass (IGCC),2030,15.5652
China,Reference,electricity,biomass,biomass (conv CCS),2030,19.3392
China,Reference,electricity,biomass,biomass (conv),2030,13.6013
China,Reference,electricity,coal,coal (IGCC CCS),2030,11.894
China,Reference,electricity,coal,coal (IGCC),2030,7.92995
China,Reference,electricity,coal,coal (conv pul CCS),2030,11.331
China,Reference,electricity,coal,coal (conv pul),2030,7.13618
China,Reference,electricity,gas,gas (CC CCS),2030,8.60984
China,Reference,electricity,gas,gas (CC),2030,5.93395
China,Reference,electricity,gas,gas (steam/CT),2030,8.53036
China,Reference,electricity,geothermal,geothermal,2030,14.7367
China,Reference,electricity,nuclear,Gen_III,2030,9.4519
China,Reference,electricity,nuclear,Gen_II_LWR,2030,9.89133
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2030,16.9855
China,Reference,electricity,refined liquids,refined liquids (CC),2030,12.5634
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2030,18.7222
China,Reference,electricity,solar,CSP,2030,14.0453
China,Reference,electricity,solar,CSP_storage,2030,11.8093
China,Reference,electricity,solar,PV,2030,5.80782
China,Reference,electricity,solar,PV_storage,2030,21.1405
China,Reference,electricity,wind,wind,2030,6.08602
China,Reference,electricity,wind,wind_offshore,2030,10.2502
China,Reference,electricity,wind,wind_storage,2030,14.9884
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2030,12.6319
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2030,19.9042
Taiwan,Reference,electricity,biomass,biomass (IGCC),2030,15.2927
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2030,19.8247
Taiwan,Reference,electricity,biomass,biomass (conv),2030,13.4606
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2030,12.3789
Taiwan,Reference,electricity,coal,coal (IGCC),2030,7.95984
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2030,11.9624
Taiwan,Reference,electricity,coal,coal (conv pul),2030,7.16516
Taiwan,Reference,electricity,gas,gas (CC CCS),2030,7.81545
Taiwan,Reference,electricity,gas,gas (CC),2030,5.04702
Taiwan,Reference,electricity,gas,gas (steam/CT),2030,7.19952
Taiwan,Reference,electricity,geothermal,geothermal,2030,14.8415
Taiwan,Reference,electricity,nuclear,Gen_III,2030,9.42
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2030,9.85943
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2030,16.8308
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2030,12.2004
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2030,18.1935
Taiwan,Reference,electricity,solar,CSP,2030,8.77106
Taiwan,Reference,electricity,solar,CSP_storage,2030,9.12074
Taiwan,Reference,electricity,solar,PV,2030,6.78649
Taiwan,Reference,electricity,solar,PV_storage,2030,25.3615
Taiwan,Reference,electricity,wind,wind,2030,6.78138
Taiwan,Reference,electricity,wind,wind_offshore,2030,9.72946
Taiwan,Reference,electricity,wind,wind_storage,2030,16.7116
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2035,11.0682
China,Reference,electricity,biomass,biomass (IGCC CCS),2035,18.5332
China,Reference,electricity,biomass,biomass (IGCC),2035,15.2701
China,Reference,electricity,biomass,biomass (conv CCS),2035,18.1407
China,Reference,electricity,biomass,biomass (conv),2035,13.517
China,Reference,electricity,coal,coal (IGCC CCS),2035,11.6296
China,Reference,electricity,coal,coal (IGCC),2035,8.37458
China,Reference,electricity,coal,coal (conv pul CCS),2035,11.277
China,Reference,electricity,coal,coal (conv pul),2035,7.68694
